rule,side,horizon,tp,sl,train,oos_april,latest
ema50_200_momo_short,short,20,0.3,0.5,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 14581, 'mean': -0.381654, 'win_rate': 0.1479, 'profit_factor': 0.1042, 'total': -5564.9}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 7278, 'mean': -0.353806, 'win_rate': 0.1827, 'profit_factor': 0.1342, 'total': -2575.0}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 1081, 'mean': -0.337188, 'win_rate': 0.2035, 'profit_factor': 0.1533, 'total': -364.5}"
ema9_20_momo_long,long,20,0.2,0.8,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 16851, 'mean': -0.515032, 'win_rate': 0.285, 'profit_factor': 0.0996, 'total': -8678.8}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 6919, 'mean': -0.452695, 'win_rate': 0.3473, 'profit_factor': 0.133, 'total': -3132.2}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 797, 'mean': -0.444918, 'win_rate': 0.3551, 'profit_factor': 0.1376, 'total': -354.6}"
ema9_20_momo_long,long,10,0.2,0.8,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 16851, 'mean': -0.515032, 'win_rate': 0.285, 'profit_factor': 0.0996, 'total': -8678.8}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 6919, 'mean': -0.452695, 'win_rate': 0.3473, 'profit_factor': 0.133, 'total': -3132.2}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 802, 'mean': -0.445885, 'win_rate': 0.3541, 'profit_factor': 0.1371, 'total': -357.6}"
core_ema9_20_long,long,20,0.2,0.8,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 3196, 'mean': -0.47209, 'win_rate': 0.3279, 'profit_factor': 0.122, 'total': -1508.8}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 1284, 'mean': -0.457321, 'win_rate': 0.3427, 'profit_factor': 0.1303, 'total': -587.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 56, 'mean': -0.407143, 'win_rate': 0.3929, 'profit_factor': 0.1618, 'total': -22.8}"
core_ema9_20_long,long,10,0.2,0.8,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 3196, 'mean': -0.47209, 'win_rate': 0.3279, 'profit_factor': 0.122, 'total': -1508.8}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 1284, 'mean': -0.457321, 'win_rate': 0.3427, 'profit_factor': 0.1303, 'total': -587.2}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 57, 'mean': -0.414035, 'win_rate': 0.386, 'profit_factor': 0.1571, 'total': -23.6}"
rsi14_revert_long,long,10,0.3,0.5,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 1281, 'mean': -0.357611, 'win_rate': 0.178, 'profit_factor': 0.1299, 'total': -458.1}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 493, 'mean': -0.366937, 'win_rate': 0.1663, 'profit_factor': 0.1197, 'total': -180.9}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 10, 'count': 59, 'mean': -0.29661, 'win_rate': 0.2542, 'profit_factor': 0.2045, 'total': -17.5}"
rsi14_revert_long,long,20,0.3,0.5,"{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 1281, 'mean': -0.357611, 'win_rate': 0.178, 'profit_factor': 0.1299, 'total': -458.1}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 493, 'mean': -0.366937, 'win_rate': 0.1663, 'profit_factor': 0.1197, 'total': -180.9}","{'name': 'rsi14_revert_long', 'side': 'long', 'horizon': 20, 'count': 59, 'mean': -0.29661, 'win_rate': 0.2542, 'profit_factor': 0.2045, 'total': -17.5}"
raw_seq9_up_long,long,10,0.2,0.8,"{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 141, 'mean': -0.530496, 'win_rate': 0.2695, 'profit_factor': 0.0922, 'total': -74.8}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 31, 'mean': -0.477419, 'win_rate': 0.3226, 'profit_factor': 0.119, 'total': -14.8}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 4, 'mean': -0.3, 'win_rate': 0.5, 'profit_factor': 0.25, 'total': -1.2}"
raw_seq9_up_long,long,20,0.2,0.8,"{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 141, 'mean': -0.530496, 'win_rate': 0.2695, 'profit_factor': 0.0922, 'total': -74.8}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 31, 'mean': -0.477419, 'win_rate': 0.3226, 'profit_factor': 0.119, 'total': -14.8}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 4, 'mean': -0.3, 'win_rate': 0.5, 'profit_factor': 0.25, 'total': -1.2}"
ema50_200_momo_short,short,10,0.2,0.8,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 14581, 'mean': -0.564214, 'win_rate': 0.2358, 'profit_factor': 0.0771, 'total': -8226.8}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 7278, 'mean': -0.480544, 'win_rate': 0.3195, 'profit_factor': 0.1174, 'total': -3497.4}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 1081, 'mean': -0.435523, 'win_rate': 0.3645, 'profit_factor': 0.1434, 'total': -470.8}"
ema50_200_momo_short,short,20,0.2,0.8,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 14581, 'mean': -0.564214, 'win_rate': 0.2358, 'profit_factor': 0.0771, 'total': -8226.8}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 7278, 'mean': -0.480544, 'win_rate': 0.3195, 'profit_factor': 0.1174, 'total': -3497.4}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 1081, 'mean': -0.435523, 'win_rate': 0.3645, 'profit_factor': 0.1434, 'total': -470.8}"
breakout5_long,long,20,0.2,0.5,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 9192, 'mean': -0.381886, 'win_rate': 0.1687, 'profit_factor': 0.0812, 'total': -3510.3}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 3797, 'mean': -0.350487, 'win_rate': 0.2136, 'profit_factor': 0.1086, 'total': -1330.8}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 447, 'mean': -0.346532, 'win_rate': 0.2192, 'profit_factor': 0.1123, 'total': -154.9}"
breakout5_long,long,10,0.2,0.5,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 9192, 'mean': -0.381886, 'win_rate': 0.1687, 'profit_factor': 0.0812, 'total': -3510.3}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 3797, 'mean': -0.350487, 'win_rate': 0.2136, 'profit_factor': 0.1086, 'total': -1330.8}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 450, 'mean': -0.347556, 'win_rate': 0.2178, 'profit_factor': 0.1114, 'total': -156.4}"
